element,ion,wavelength_nm,strength_percentile
Ir,1,425.9110,19
S,2,425.9146,62
Mn,2,425.9191,51
V,1,425.9309,40
W,1,425.9351,53
Ar,1,425.9362,78
Cu,1,425.9401,63
Bi,2,425.9413,98
Ac,2,425.9650,16
Pt,1,425.9931,1
Gd,1,426.0120,89
Fe,1,426.0474,80
Tm,1,426.0487,67
Na,2,426.0580,55
Ti,3,426.0763,20
Ge,3,426.0850,98
Os,1,426.0850,95
Ac,2,426.1101,10
Te,2,426.1112,63
Sc,1,426.1312,37
Ga,2,426.1478,4
Ti,1,426.1590,9
Ac,2,426.1669,10
Nd,2,426.1840,63
Pu,1,426.1880,53
Ti,3,426.1904,44
Ne,3,426.1980,70
Ga,2,426.2014,69
Nb,1,426.2050,89
Gd,1,426.2090,96
V,1,426.2155,18
Tc,1,426.2270,98
Sr,1,426.2320,72
La,1,426.2340,57
Ac,1,426.2420,56
Ti,3,426.2441,44
Sm,2,426.2680,90
Tc,1,426.2687,78
Ti,1,426.3133,65
Ga,2,426.3136,5
Cr,1,426.3138,59
Kr,1,426.3286,67
W,1,426.3304,2
K,2,426.3400,77
Xe,3,426.3400,55
Ce,2,426.3430,1
Hf,1,426.3450,10
Pt,1,426.3502,6
Xe,2,426.3570,12
La,2,426.3590,76
Tb,1,426.3660,72
Pr,2,426.3780,64
Ho,1,426.4050,90
Pm,1,426.4320,31
Te,2,426.4360,18
Ba,1,426.4417,62
Cl,1,426.4580,14
Cs,2,426.4702,96
Sm,2,426.5080,56
Sb,3,426.5090,91
Ra,1,426.5120,32
Ne,3,426.5220,61
Ir,1,426.5300,14
Am,1,426.5550,54
Sr,1,426.5660,62
Mn,1,426.5920,76
Nb,1,426.6020,77
Ho,1,426.6040,82
Ar,1,426.6286,69
Tb,1,426.6340,95
Cm,1,426.6450,70
Ar,2,426.6526,85
Rb,2,426.6581,78
Gd,1,426.6600,85
Nd,2,426.6716,53
Ac,1,426.6940,62
Gd,1,426.7000,80
C,2,426.7003,100
C,2,426.7258,100
S,2,426.7759,92
Ba,2,426.7920,19
Ne,1,426.8009,24
Zr,1,426.8020,74
Ne,3,426.8050,43
Ir,1,426.8100,54
Ac,2,426.8216,24
Ta,1,426.8255,49
Dy,1,426.8264,92
Kr,2,426.8570,65
V,1,426.8638,74
Kr,2,426.8810,75
C,1,426.9020,86
Pr,2,426.9090,69
Mo,1,426.9279,61
W,1,426.9382,91
La,2,426.9500,83
Os,1,426.9610,8
Tb,1,426.9690,80
Ne,1,426.9722,24
S,2,426.9724,77
Pu,1,426.9770,54
Tl,3,426.9810,83
Ti,3,426.9840,84
Xe,2,426.9840,46
Ti,1,427.0127,3
Ce,2,427.0190,72
Ne,1,427.0225,8
Eu,2,427.0240,12
Rb,2,427.0253,66
Nd,2,427.0565,33
Nb,1,427.0690,68
Ce,2,427.0720,50
Cr,1,427.1062,15
Fe,1,427.1153,66
Th,3,427.1266,1
V,1,427.1548,71
Tm,1,427.1716,88
Cs,2,427.1736,30
Fe,1,427.1760,90
Ti,3,427.1860,2
Ca,3,427.1896,62
Lu,3,427.1910,66
Bi,2,427.2000,68
Ar,1,427.2169,73
Pr,2,427.2270,90
Ti,1,427.2424,26
Xe,3,427.2580,82
Pb,3,427.2660,84
Ca,3,427.2723,16
B,2,427.2730,48
Nd,2,427.2789,53
Hf,2,427.2850,47
Li,1,427.3070,63
O,2,427.3104,33
Li,1,427.3130,67
Rb,2,427.3140,98
Pu,2,427.3340,91
Th,2,427.3357,77
Te,2,427.3429,42
Rh,1,427.3430,41
Ho,2,427.3630,20
Na,1,427.3642,28
Ca,3,427.3881,52
Na,1,427.3900,75
Pt,1,427.3922,21
Kr,1,427.3969,98
Gd,1,427.4170,69
O,2,427.4240,26
W,1,427.4548,68
Ti,1,427.4588,63
Ne,1,427.4662,8
Cr,1,427.4812,95
Tc,2,427.4970,89
Tl,2,427.4980,85
Pr,3,427.5070,69
Nd,2,427.5090,53
Cu,1,427.5107,85
Ar,2,427.5159,20
Mg,3,427.5201,14
Tb,1,427.5210,64
F,2,427.5360,63
W,1,427.5486,2
Ti,3,427.5528,20
O,2,427.5551,76
Ne,1,427.5559,24
La,2,427.5640,71
O,2,427.5994,34
Hg,2,427.6224,37
O,2,427.6281,34
Ti,1,427.6427,28
Er,2,427.6480,29
Dy,1,427.6690,70
W,1,427.6740,30
O,2,427.6748,70
Na,1,427.6787,34
Th,2,427.6807,33
Mo,1,427.6906,87
V,1,427.6951,72
Cs,2,427.7130,96
Mo,1,427.7239,92
Th,2,427.7314,95
O,2,427.7427,63
Lu,1,427.7500,61
Ar,2,427.7528,97
F,2,427.7530,42
Yb,1,427.7740,50
O,2,427.7892,45
Hg,2,427.7995,37
Ca,3,427.8209,56
Ti,1,427.8220,14
S,2,427.8500,77
Tb,2,427.8520,89
Rh,1,427.8600,41
Ce,2,427.8860,1
Ca,3,427.8890,28
Tc,1,427.8895,67
F,2,427.8930,44
Sm,2,427.9680,89
Ca,3,427.9723,60
Sc,2,427.9928,10
Sm,2,427.9940,15
Gd,3,427.9960,8
Pr,2,428.0070,79
La,1,428.0270,94
Cr,1,428.0403,56
Gd,2,428.0490,77
Sm,2,428.0790,97
Lu,1,428.1030,68
Th,2,428.1068,49
Mn,1,428.1100,73
Pu,1,428.1170,54
O,2,428.1318,34
Ti,1,428.1364,41
Th,2,428.1414,13
Ti,3,428.1563,53
Th,2,428.2041,92
Zr,1,428.2200,84
Sm,1,428.2210,93
Fe,1,428.2403,67
Pr,2,428.2420,90
Nd,2,428.2440,69
Nd,2,428.2570,33
S,2,428.2595,77
Ti,1,428.2699,57
Sm,1,428.2830,82
Ar,2,428.2897,43
O,2,428.2964,63
Kr,1,428.2967,90
Al,2,428.2970,9
Ca,1,428.3010,73
Ba,1,428.3097,90
O,2,428.3249,15
Cu,3,428.3400,37
Sm,1,428.3500,60
Sc,1,428.3549,37
Ca,3,428.3571,21
O,2,428.3727,45
V,1,428.4043,70
Mn,1,428.4080,40
Ti,3,428.4090,21
Cs,2,428.4251,11
Ru,1,428.4330,83
Pm,1,428.4370,31
Ca,3,428.4388,67
Nd,2,428.4518,82
Ce,3,428.4770,16
S,3,428.4885,97
K,2,428.4890,29
Ti,1,428.4981,47
Cd,2,428.5078,73
Tb,2,428.5130,60
Ce,2,428.5370,26
Ti,3,428.5610,70
O,2,428.5687,70
C,2,428.5704,49
Gd,1,428.5820,77
Te,2,428.5854,49
Xe,3,428.5890,91
Ti,1,428.6004,79
Gd,1,428.6120,70
Fe,3,428.6160,18
Pr,3,428.6320,57
Kr,1,428.6487,79
Ti,3,428.6516,35
Sc,1,428.6554,37
Er,1,428.6560,88
Ir,1,428.6620,12
Sm,2,428.6640,34
Na,1,428.6700,83
La,2,428.6970,87
Nb,1,428.6990,76
Ti,1,428.7403,80
Na,1,428.7838,15
Ti,2,428.7873,20
Rb,2,428.7967,93
Kr,1,428.8020,43
Pt,1,428.8051,34
Sr,1,428.8145,66
Er,3,428.8180,93
Cs,2,428.8375,92
P,2,428.8600,37
Mo,1,428.8631,94
Ce,2,428.8660,1
Ti,3,428.8660,61
K,2,428.8700,41
Rh,1,428.8710,87
O,2,428.8820,55
Ti,1,428.9070,81
Pu,2,428.9080,91
Ti,3,428.9250,2
Am,1,428.9260,91
Ca,1,428.9360,62
Ce,2,428.9440,1
Yb,3,428.9640,33
Tb,1,428.9700,76
Cr,1,428.9731,95
C,2,428.9880,27
Ce,2,428.9940,97
Er,3,429.0060,100
Ca,3,429.0069,57
Ti,2,429.0215,70
Ne,2,429.0374,57
Ne,2,429.0602,35
Pt,1,429.0899,17
Ti,1,429.0929,77
Na,1,429.1006,26
Ti,1,429.1126,28
Ba,1,429.1157,56
Re,1,429.1170,18
O,2,429.1254,63
Pa,2,429.1340,80
Br,2,429.1390,18
S,2,429.1432,48
Ge,3,429.1710,91
V,1,429.1806,60
C,2,429.1820,50
Ti,3,429.1925,36
Dy,1,429.1966,96
Cs,2,429.2002,49
In,2,429.2064,19
Mo,1,429.2130,84
Sm,2,429.2180,34
O,2,429.2211,55
Mn,2,429.2233,69
C,2,429.2410,79
Cu,2,429.2471,0
Na,2,429.2488,63
Kr,1,429.2640,47
Na,2,429.2864,63
Zn,1,429.2884,30
Kr,2,429.2923,97
Cm,1,429.3000,71
Mo,1,429.3215,88
Ru,1,429.3280,43
Sn,2,429.3300,29
Ti,3,429.3340,3
Pb,2,429.3820,32
Mo,1,429.3880,71
Os,1,429.3950,67
Rb,2,429.3971,89
Kr,3,429.4060,17
Ti,2,429.4094,78
Fe,1,429.4124,54
Sr,1,429.4148,67
Sn,2,429.4330,47
S,2,429.4398,95
W,1,429.4606,100
Ac,1,429.4620,27
Sc,2,429.4764,93
Hf,1,429.4780,50
O,2,429.4781,71
Ru,1,429.4790,49
Zr,1,429.4790,85
Kr,3,429.4830,69
Dy,2,429.4930,54
Ti,3,429.5420,61
Ca,3,429.5571,37
B,2,429.5710,49
Ti,1,429.5749,77
Cr,1,429.5749,38
C,2,429.5920,62
Ru,1,429.5930,73
Lu,1,429.5970,72
La,2,429.6050,87
Ce,2,429.6070,2
Gd,2,429.6080,65
Lu,1,429.6090,73
Cs,3,429.6097,42
V,1,429.6097,42
Mg,3,429.6355,15
Xe,2,429.6400,92
Pb,2,429.6650,28
Ce,2,429.6670,96
Ti,3,429.6702,85
Sm,1,429.6740,100
Rh,1,429.6770,47
Ce,2,429.6780,54
Fe,3,429.6850,24
Tc,1,429.7058,98
Gd,2,429.7170,36
Cs,3,429.7518,33
V,1,429.7672,29
Ru,1,429.7710,95
Cr,1,429.7733,48
Pm,2,429.7780,92
Nd,2,429.7800,40
V,1,429.8024,29
Pr,3,429.8270,42
Zn,1,429.8325,35
Tb,1,429.8360,83
Tm,1,429.8365,83
Ti,1,429.8666,86
Eu,1,429.8730,83
Er,1,429.8910,77
Pr,2,429.8980,78
Ca,1,429.8990,62
F,2,429.9170,89
Ti,1,429.9203,56
Fe,1,429.9235,57
Gd,1,429.9290,77
Ce,2,429.9360,69
Nb,1,429.9600,85
Ti,1,429.9629,65
Tb,1,429.9900,77
Ti,2,430.0042,87
Ar,1,430.0101,69
Ce,2,430.0330,81
La,2,430.0440,51
Kr,1,430.0487,83
Kr,2,430.0500,86
Cr,1,430.0503,2
Ti,1,430.0554,91
Ar,2,430.0649,52
Cs,2,430.0653,86
Nb,1,430.0990,85
Ca,3,430.1005,55
Ti,1,430.1079,92
Yb,3,430.1140,47
Cr,1,430.1174,18
Ca,3,430.1494,58
Kr,2,430.1540,55
Er,2,430.1600,56
Ir,1,430.1600,20
Bi,2,430.1697,96
Pr,3,430.1730,42
Ti,2,430.1923,50
W,1,430.2110,91
Na,2,430.2190,4
Y,1,430.2290,90
Kr,1,430.2446,55
Ca,1,430.2530,79
Ca,3,430.2804,77
O,2,430.2858,15
Zr,1,430.2890,74
Tb,1,430.2950,67
Ta,1,430.2978,58
O,2,430.3070,4
Nd,2,430.3573,100
O,2,430.3609,34
Pr,2,430.3610,67
Er,2,430.3810,29
O,2,430.3825,71
Pm,2,430.3890,51
Yb,3,430.4010,33
Re,1,430.4400,35
Nd,2,430.4450,54
Ti,3,430.4505,71
Ce,3,430.4710,7
Fe,3,430.4780,31
Sm,2,430.4940,28
K,2,430.5000,78
Ra,1,430.5000,50
Ce,2,430.5140,54
Ba,1,430.5181,29
Kr,3,430.5200,59
O,2,430.5390,26
Sr,2,430.5447,29
Pm,1,430.5640,9
Sc,2,430.5711,96
Pr,2,430.5760,96
Ti,1,430.5908,93
Yb,1,430.5970,64
V,1,430.6209,58
Ne,1,430.6251,25
Rb,2,430.6257,78
C,2,430.6330,17
Gd,1,430.6340,94
Th,2,430.6365,70
Cs,2,430.6474,17
Bi,3,430.6570,36
Cd,1,430.6672,11
Ce,2,430.6720,81
Na,2,430.6750,4
Tl,2,430.6800,99
W,1,430.6870,30
V,1,430.7173,50
Th,1,430.7176,28
Tb,1,430.7180,67
Al,2,430.7203,22
O,2,430.7233,46
C,2,430.7590,29
Ru,1,430.7600,87
W,1,430.7638,2
Ca,1,430.7740,68
Rn,1,430.7760,87
Nd,2,430.7778,24
Ti,2,430.7866,60
Fe,1,430.7902,90
Cs,2,430.7961,31
Sr,1,430.8105,73
Mn,2,430.8153,46
Bi,1,430.8360,41
Ti,1,430.8500,23
Dy,2,430.8630,82
Na,2,430.8817,63
O,2,430.8999,35
Sm,2,430.9010,81
Na,2,430.9043,63
Ar,2,430.9093,58
K,2,430.9100,79
Pt,1,430.9176,11
Ar,2,430.9239,66
Ba,2,430.9266,4
Gd,1,430.9290,62
Sc,3,430.9471,74
Nb,1,430.9560,33
Lu,1,430.9570,62
Y,2,430.9620,84
Am,2,430.9650,49
Ce,2,430.9740,50
V,1,430.9793,59
Th,2,430.9993,43
Fe,3,431.0360,41
Tb,1,431.0420,89
Ti,3,431.0481,21
Xe,2,431.0510,93
Ir,1,431.0590,18
Ho,1,431.1040,71
Ag,1,431.1074,77
Nb,1,431.1270,75
Os,1,431.1400,67
Ir,1,431.1500,49
Tb,1,431.1560,77
Ac,2,431.1640,10
O,2,431.2107,35
Ti,3,431.2163,21
Nb,1,431.2450,33
Mn,1,431.2550,40
Cs,3,431.2797,3
Sm,1,431.2850,61
Ti,2,431.2860,57
Th,1,431.2984,57
Th,1,431.2998,75
C,2,431.3100,78
Sr,1,431.3182,17
Tb,1,431.3250,84
O,2,431.3442,46
Ag,2,431.3510,25
Gd,1,431.3840,97
Hg,1,431.4050,5
Sc,2,431.4082,99
Gd,3,431.4280,4
Sb,2,431.4320,65
Ti,1,431.4344,30
Gd,1,431.4400,82
Nd,2,431.4511,69
Ti,1,431.4729,30
Ti,1,431.4800,79
Ti,2,431.4971,55
Fe,1,431.5084,56
Au,1,431.5110,80
Th,1,431.5254,37
O,2,431.5393,4
As,2,431.5657,55
La,2,431.5900,29
Gd,2,431.6050,62
Y,1,431.6303,49
Pr,3,431.6340,43
Yb,2,431.6950,67
O,2,431.7138,88
C,2,431.7260,88
O,2,431.7700,35
Kr,2,431.7810,95
Y,1,431.7863,12
Mo,1,431.7922,35
Th,2,431.8416,70
Ru,1,431.8430,64
Kr,1,431.8552,95
C,2,431.8600,74
Ti,1,431.8629,59
S,2,431.8645,77
Ca,1,431.8650,63
Pm,1,431.8800,45
Tb,1,431.8830,99
Sm,2,431.8940,96
Sr,1,431.9053,76
Sr,1,431.9220,48
Sm,1,431.9530,83
Ti,3,431.9561,36
Kr,1,431.9579,99
Ag,2,431.9590,33
O,2,431.9629,88
Ru,1,431.9870,73
Er,2,431.9940,23
Th,2,432.0126,60
Gd,1,432.0520,73
Ce,2,432.0720,68
Sc,2,432.0745,96
Te,2,432.0898,17
Na,2,432.0913,64
Gd,2,432.1110,73
Na,1,432.1400,40
C,2,432.1647,33
Ti,1,432.1654,47
Xe,2,432.1820,46
I,1,432.1839,81
Sr,1,432.1953,67
Tb,1,432.2230,92
Ne,2,432.2371,35
La,2,432.2510,82
Ne,2,432.2742,14
Kr,2,432.2980,83
Ba,1,432.3003,67
Sn,2,432.3093,0
C,2,432.3102,50
Sm,2,432.3280,63
W,2,432.3385,46
Pr,2,432.3550,55
As,2,432.3867,58
Sm,1,432.4460,61
Am,2,432.4570,84
Na,1,432.4615,45
Sc,2,432.4998,93
Mn,2,432.5047,46
Cr,1,432.5061,34
Ba,1,432.5109,49
Ti,1,432.5126,55
Li,2,432.5420,75
Li,2,432.5470,77
Li,2,432.5540,13
C,3,432.5560,52
Gd,2,432.5570,94
In,2,432.5684,66
O,2,432.5758,71
Fe,1,432.5762,94
Nd,2,432.5766,90
Mo,1,432.5802,16
C,2,432.5827,46
Tb,2,432.5830,84
Dy,1,432.5860,73
Pm,2,432.5920,65
Mo,1,432.6136,87
C,2,432.6156,62
Cs,3,432.6328,45
Nb,1,432.6330,75
Ti,1,432.6351,51
In,2,432.6375,58
Tb,1,432.6430,100
Sr,1,432.6445,46
Mn,2,432.6644,91
In,2,432.6645,58
Mo,1,432.6744,60
Ti,3,432.6824,36
Na,2,432.6980,37
Pt,1,432.7053,67
Gd,1,432.7120,97
Ac,2,432.7240,6
In,2,432.7332,63
Nb,1,432.7380,33
O,2,432.7465,46
Ti,3,432.7620,53
Bi,3,432.7870,65
Nd,2,432.7930,74
Ba,3,432.7942,63
Ca,3,432.8225,25
O,2,432.8586,35
Cu,1,432.8680,39
Os,1,432.8680,50
Se,1,432.8700,23
Er,1,432.8810,58
Tb,1,432.8900,68
Th,1,432.8915,20
Sm,2,432.9020,95
Cf,1,432.9030,44
Ca,3,432.9185,65
Eu,1,432.9360,66
Pr,2,432.9410,64
Ti,3,432.9496,21
Be,2,432.9550,45
Bk,1,432.9580,60
Gd,1,432.9580,74
In,2,432.9800,53
C,2,432.9880,71
Eu,1,432.9970,61
Sm,1,433.0020,79
V,1,433.0023,79
Sn,3,433.0200,57
Cs,2,433.0253,74
Hf,1,433.0282,13
Se,1,433.0300,10
Ce,2,433.0450,34
In,2,433.0460,53
Xe,2,433.0520,97
Eu,2,433.0610,42
Gd,2,433.0610,51
Ho,2,433.0640,49
Y,1,433.0770,73
Cm,1,433.0820,72
Eu,1,433.1175,37
O,2,433.1176,46
Ar,2,433.1199,91
Kr,2,433.1240,71
Er,1,433.1360,55
Nb,1,433.1370,76
Gd,1,433.1380,59
V,1,433.1443,24
O,2,433.1862,36
Mg,2,433.1945,23
Al,2,433.2000,9
Ar,2,433.2029,74
Pm,2,433.2050,51
Ca,3,433.2065,26
Tb,1,433.2120,93
Re,1,433.2250,35
Sr,1,433.2439,68
S,3,433.2644,92
O,2,433.2707,36
Ce,2,433.2710,35
Lu,1,433.2720,44
V,1,433.2819,81
N,3,433.2910,21
Ba,1,433.2915,61
Ag,2,433.3140,19
Be,2,433.3170,15
Kr,2,433.3340,61
Ti,3,433.3542,54
Ar,1,433.3561,70
Ca,3,433.3567,65
La,2,433.3740,99
S,2,433.3828,41
Pr,2,433.3970,95
Ne,1,433.4127,25
Sm,2,433.4150,90
O,2,433.4186,16
Na,2,433.4420,14
La,2,433.4960,9
Cf,1,433.5220,48
Ar,1,433.5338,63
Cs,3,433.5439,10
Tm,3,433.5470,41
Pr,2,433.5740,52
Rn,1,433.5780,20
Sr,3,433.5799,92
Ti,3,433.5810,3
Xe,2,433.5810,12
Cu,1,433.6000,24
Sm,1,433.6140,98
Ne,1,433.6227,9
Ce,2,433.6230,15
In,2,433.6260,42
Ac,1,433.6270,37
Tb,1,433.6430,97
Pm,2,433.6540,75
As,2,433.6640,60
Hf,2,433.6660,50
Tc,1,433.6855,46
O,2,433.6862,83
Fe,1,433.7046,23
Xe,2,433.7070,39
Ar,2,433.7070,35
Hg,2,433.7097,38
Ac,2,433.7130,21
Ho,2,433.7130,59
Pu,2,433.7180,92
Y,1,433.7275,36
Th,1,433.7277,54
Na,2,433.7294,64
Pm,2,433.7480,52
Cr,1,433.7557,94
Tb,1,433.7640,93
Sr,1,433.7664,81
Eu,1,433.7680,66
Ce,2,433.7770,89
Sr,1,433.7891,54
Ti,2,433.7914,79
Er,3,433.8240,83
Tb,1,433.8410,99
Si,3,433.8500,63
Nd,2,433.8697,76
Pr,2,433.8700,73
Ti,3,433.8712,3
Hg,1,433.9223,83
198Hg,1,433.9225,38
Ce,2,433.9310,41
Cr,1,433.9446,96
Tm,1,433.9626,10
Cr,1,433.9710,89
Bi,2,433.9800,27
Ne,2,433.9821,36
K,2,434.0030,53
Cr,1,434.0128,16
S,3,434.0230,88
O,2,434.0328,47
Ca,3,434.0343,41
Pb,1,434.0413,70
H,1,434.0472,96
Bi,2,434.0500,70
Tb,1,434.0620,96
Ra,2,434.0640,96
La,1,434.0730,46
Sr,1,434.0750,73
Er,1,434.0920,62
V,1,434.0998,86
Zr,1,434.1130,85
Gd,2,434.1280,59
Kr,2,434.1330,16
Tm,1,434.1336,28
Si,3,434.1400,51
Na,1,434.1489,30
Ne,2,434.1514,36
C,1,434.1640,61
U,2,434.1690,87
Lu,2,434.1980,15
O,2,434.2004,71
Ru,1,434.2070,73
Pm,2,434.2120,76
Gd,2,434.2180,78
C,1,434.2396,26
Rh,1,434.2440,11
Th,1,434.2444,28
Tb,1,434.2530,87
Xe,2,434.2560,2
Zr,3,434.2680,46
S,2,434.2808,22
Nb,1,434.2820,40
Ti,3,434.3246,3
Hg,1,434.3634,20
Th,2,434.3951,7
Mn,2,434.3983,91
Na,2,434.4108,64
C,1,434.4111,19
Kr,3,434.4240,54
Ti,2,434.4281,7
Gd,2,434.4300,81
Pr,2,434.4300,85
C,1,434.4309,37
Th,2,434.4327,64
O,2,434.4375,47
Cr,1,434.4502,97
Y,1,434.4635,55
Na,1,434.4736,36
Ca,3,434.4817,20
Sb,2,434.4830,21
Ar,1,434.5168,51
O,2,434.5560,88
N,3,434.5680,50
Cm,1,434.5690,73
Sm,2,434.5860,61
Ti,1,434.6103,26
Ne,2,434.6239,36
Ce,3,434.6350,31
Gd,1,434.6460,98
Tm,1,434.6484,68
Gd,1,434.6620,90
Cr,1,434.6818,45
Ho,2,434.6840,20
Al,2,434.6866,9
Al,2,434.6897,23
Al,2,434.6918,15
Rb,2,434.6959,86
O,2,434.7223,26
Gd,2,434.7310,36
O,2,434.7420,88
Pr,2,434.7490,79
Hg,1,434.7495,88
198Hg,1,434.7496,54
Ac,1,434.7510,28
Pm,1,434.7720,9
Sm,2,434.7800,86
Zr,1,434.7890,94
Ti,3,434.8040,78
Ar,2,434.8064,97
W,2,434.8113,81
Er,1,434.8340,66
Mn,2,434.8396,69
Ti,3,434.8400,4
Nb,1,434.8650,41
Y,1,434.8783,91
C,1,434.8966,26
Nb,1,434.9030,29
O,2,434.9426,97
Rn,1,434.9600,88
Ru,1,434.9700,60
Ce,2,434.9790,75
Ba,1,435.0326,83
Mo,1,435.0331,50
Pr,2,435.0400,71
Sm,2,435.0460,61
Hf,2,435.0510,42
Ho,1,435.0730,96
Yb,3,435.0800,19
Kr,2,435.1020,55
Cr,1,435.1049,88
O,2,435.1262,94
Nd,2,435.1295,80
Ir,1,435.1300,9
Kr,1,435.1360,90
Bk,1,435.1500,61
Nb,1,435.1570,68
Cr,1,435.1762,98
Mg,1,435.1906,87
Cu,3,435.1970,72
Sm,2,435.2100,61
As,2,435.2145,62
Sb,3,435.2160,98
Ar,2,435.2205,79
Ti,3,435.2282,62
Y,1,435.2322,56
Y,1,435.2404,8
Ir,1,435.2560,9
Y,1,435.2703,56
Ce,2,435.2710,69
Pu,2,435.2710,93
Fe,1,435.2734,40
Pb,2,435.2740,56
Cu,3,435.2800,96
As,2,435.2864,45
V,1,435.2865,89
Tb,2,435.3200,75
O,2,435.3594,47
Ru,1,435.4130,79
Pr,3,435.4280,33
La,2,435.4400,86
S,3,435.4516,89
Mg,1,435.4529,46
Xe,1,435.4590,20
Sc,2,435.4602,88
Cu,1,435.4740,24
La,1,435.4800,63
Pr,2,435.4910,78
Kr,3,435.4950,43
V,1,435.4968,23
Ca,1,435.5080,60
Eu,2,435.5090,77
Ta,1,435.5145,42
Cu,3,435.5240,73
C,1,435.5408,48
Kr,2,435.5477,100
U,1,435.5740,72
V,1,435.5943,53
Tb,1,435.6090,73
Hf,1,435.6306,55
Mn,2,435.6629,12
Ho,2,435.6730,55
Tb,1,435.6810,97
S,2,435.6866,22
O,2,435.7252,26
Al,3,435.7562,34
Y,1,435.7726,73
Re,2,435.7980,1
In,2,435.8000,23
Mg,3,435.8138,31
Nd,2,435.8169,86
Hg,1,435.8335,100
198Hg,1,435.8337,98
Ca,3,435.8379,63
Dy,2,435.8440,37
Tc,1,435.8491,46
Sc,1,435.8649,37
Re,1,435.8690,70
Y,2,435.8723,69
Mg,3,435.8979,44
Sc,1,435.9079,38
Ac,2,435.9130,75
Tc,1,435.9257,21
Ba,1,435.9527,36
Cr,1,435.9625,92
Zr,2,435.9740,49
Pr,2,435.9790,75
Tl,1,435.9900,14
Tm,1,435.9928,98
Tb,1,436.0160,73
In,2,436.0310,23
Ti,1,436.0482,12
Be,2,436.0663,91
Sm,2,436.0720,62
Zr,1,436.0810,74
Be,2,436.0988,93
Au,2,436.1040,52
Sm,2,436.1070,10
Ru,1,436.1210,85
Te,2,436.1285,15
B,3,436.1470,33
S,3,436.1476,94
Eu,2,436.1570,5
Kr,3,436.1660,29
Sr,1,436.1710,74
Sm,2,436.2040,78
U,1,436.2050,72
Ar,2,436.2066,49
Kr,1,436.2642,96
Sm,1,436.2910,80
K,2,436.2960,30
Cr,1,436.3129,41
Cl,1,436.3270,21
Cs,2,436.3299,93
Sm,2,436.3450,10
Tm,1,436.3455,15
Ne,1,436.3524,25
Bk,1,436.3640,62
Ti,3,436.3740,44
Pm,1,436.3920,43
Ho,2,436.3930,29
Te,2,436.4000,66
Ac,2,436.4082,2
Ag,2,436.4160,25
In,2,436.4460,39
Al,3,436.4642,44
Ce,2,436.4660,87
La,2,436.4670,47
S,3,436.4682,73
In,2,436.4870,47
Br,1,436.5139,32
Mn,2,436.5220,46
Ti,3,436.5330,22
Br,2,436.5600,100
Os,1,436.5670,23
Ne,2,436.5745,36
Th,1,436.5930,28
Y,1,436.6024,73
B,3,436.6110,57
Kr,2,436.6260,4
Ra,1,436.6300,12
Nd,2,436.6315,34
Nd,2,436.6380,34
Zr,1,436.6450,77
O,2,436.6530,16
O,2,436.6892,91
Xe,2,436.7050,39
S,2,436.7063,22
Tm,1,436.7238,62
Tb,2,436.7300,45
Pu,1,436.7410,55
Re,1,436.7580,28
Ti,3,436.7680,71
Ar,2,436.7831,69
Hf,2,436.7900,23
Sm,2,436.8030,56
V,1,436.8040,52
C,2,436.8047,50
O,1,436.8250,12
C,2,436.8260,80
Pr,2,436.8330,93
Nb,1,436.8430,58
Na,2,436.8600,55
Nd,2,436.8632,54
Tm,1,436.8648,24
Mo,1,436.9041,51
Xe,2,436.9200,76
Ca,3,436.9249,11
O,2,436.9275,56
Sr,1,436.9365,73
Er,2,436.9390,23
Eu,2,436.9470,37
Cl,1,436.9500,21
Pm,1,436.9640,32
Kr,2,436.9690,86
Gd,2,436.9770,48
Fe,1,436.9771,29
C,2,436.9857,46
Ne,2,436.9862,86
Sm,2,436.9920,8
S,2,436.9927,41
C,2,437.0661,27
Ar,2,437.0753,91
Cu,3,437.0840,75
Cl,3,437.0910,8
Hf,2,437.0970,51
Be,2,437.1100,33
As,2,437.1170,42
Kr,2,437.1250,41
Cr,1,437.1275,92
Ar,2,437.1329,87
C,1,437.1381,91
Cu,3,437.1400,77
O,2,437.1618,36
Pr,2,437.1620,70
Tb,1,437.2020,64
Eu,2,437.2200,35
Ru,1,437.2210,94
Xe,1,437.2287,44
C,2,437.2350,82
C,2,437.2490,89
Fe,3,437.2530,4
Fe,3,437.2810,22
In,2,437.2900,62
Cl,2,437.2930,70
Cs,2,437.3035,90
Rh,1,437.3040,32
V,1,437.3224,8
Cr,1,437.3255,52
Cu,3,437.3430,78
Sm,2,437.3460,49
Xe,2,437.3780,65
Ce,2,437.3820,43
Gd,1,437.3830,91
Th,1,437.4124,77
Cr,1,437.4154,59
Dy,2,437.4240,49
C,2,437.4272,94
O,2,437.4295,16
Sc,2,437.4462,98
Dy,2,437.4760,49
Th,2,437.4785,60
Rh,1,437.4800,96
Ar,2,437.4857,14
Nd,2,437.4923,70
Y,2,437.4933,99
Mn,1,437.4950,23
Sm,2,437.4980,28
C,2,437.5009,74
Nd,2,437.5039,70
Ac,1,437.5069,47
Tm,1,437.5140,42
Na,2,437.5215,56
Cr,1,437.5330,44
Y,1,437.5614,80
Ce,2,437.5920,66
Fe,1,437.5930,74
Ar,2,437.5954,80
Kr,1,437.6122,98
C,2,437.6562,78
Cu,3,437.7110,98
Rb,2,437.7119,93
Te,2,437.7119,18
