element,ion,wavelength_nm,strength_percentile
Ne,3,195.8206,36
S,2,195.8239,95
Al,2,195.8247,30
Ne,3,195.8339,26
Sr,3,195.8443,82
Au,3,195.8470,24
Pt,2,195.8503,81
Co,1,195.8550,56
Co,3,195.8587,84
Fe,3,195.8590,94
Fe,3,195.8746,86
Al,2,195.8770,0
Ne,3,195.8844,45
Ir,2,195.8851,76
Ar,3,195.8890,35
Re,3,195.8936,15
Ca,3,195.8971,83
Ne,3,195.9001,5
Fe,3,195.9027,78
Re,3,195.9043,71
S,2,195.9094,20
Re,3,195.9103,57
Mn,2,195.9246,71
Ag,3,195.9270,23
Os,3,195.9294,79
Kr,3,195.9320,3
Fe,3,195.9336,91
Hg,2,195.9340,0
Co,3,195.9418,99
Fe,3,195.9499,28
Fe,3,195.9735,13
Ge,2,195.9781,36
Na,3,196.0000,71
Kr,3,196.0020,55
Os,3,196.0031,33
Pt,1,196.0038,20
Bi,1,196.0049,65
B,3,196.0060,35
Fe,3,196.0157,71
Sn,1,196.0207,40
O,2,196.0265,20
Al,2,196.0322,12
Fe,3,196.0325,99
W,3,196.0451,71
Al,2,196.0646,12
Al,2,196.0846,32
Ag,3,196.0860,5
Se,1,196.0900,90
Fe,3,196.1009,80
Fe,3,196.1237,86
Zr,3,196.1239,60
Cs,3,196.1335,5
Pt,2,196.1380,67
B,3,196.1420,13
Co,3,196.1447,86
Fe,3,196.1456,58
Pt,1,196.1525,60
Co,1,196.1590,57
Sc,2,196.1596,42
Pt,1,196.1653,31
Fe,3,196.1725,59
Zr,3,196.1923,86
Ge,1,196.2013,87
Mn,3,196.2040,34
Pt,1,196.2111,44
Mg,3,196.2145,37
O,2,196.2210,65
Fe,3,196.2278,38
Pt,2,196.2341,69
W,3,196.2416,71
Re,3,196.2467,31
Al,2,196.2590,64
Al,2,196.2645,31
Co,3,196.2659,19
Al,2,196.2691,63
Fe,3,196.2722,80
Al,2,196.2735,64
Ar,3,196.2745,35
Al,2,196.2763,55
Yb,3,196.2800,15
Zr,3,196.2829,59
Te,2,196.2878,95
Fe,3,196.2956,71
